directory name,priority,ra,dec,start time,end time,obs duration,exposure time,filter,binning,completion
5393446658454453632,5,162.05388771666600,-39.93962595,2025:03:29:24:55,2025:03:30:08:00,12,30,1,1,0
5432670704985289088,5,145.8742485909250,-38.56630443,2025:03:29:24:55,2025:03:30:08:00,37.44,30,1,1,0
5970493789759784192,5,253.5650996969480,-38.31841469,2025:03:29:24:55,2025:03:30:08:00,28.32,30,1,1,0
5047423236725995136,5,46.54737320915350,-36.80098938,2025:03:29:24:55,2025:03:30:08:00,14.4,30,1,1,0
6119528334597735296,5,216.07789507666100,-35.24276789,2025:03:29:24:55,2025:03:30:08:00,11.04,30,1,1,0
4053559111471124608,5,264.17353433141800,-34.43014902,2025:03:29:24:55,2025:03:30:08:00,4.368,30,1,1,0
5639822062919251328,5,129.10827545113100,-32.84353653,2025:03:29:24:55,2025:03:30:08:00,24.48,30,1,1,0
4875169072194706816,5,75.66149168918620,-32.46464791,2025:03:29:24:55,2025:03:30:08:00,36.48,30,1,1,0
3470043239675243392,5,188.2434609709980,-32.46338287,2025:03:29:24:55,2025:03:30:08:00,15.36,30,1,1,0
6219675839377104128,5,217.7341420927660,-31.24406487,2025:03:29:24:55,2025:03:30:08:00,16.8,30,1,1,0
5604989328392927232,5,110.48029809900500,-31.08855265,2025:03:29:24:55,2025:03:30:08:00,7.2,30,1,1,0
2331849006126794880,5,352.8410547369360,-27.8271343,2025:03:29:24:55,2025:03:30:08:00,20.64,30,1,1,0
5609768282659317376,5,106.92958692328900,-27.71274243,2025:03:29:24:55,2025:03:30:08:00,22.56,30,1,1,0
4889645826401308416,5,63.41725469812180,-27.07499137,2025:03:29:24:55,2025:03:30:08:00,39.84,30,1,1,0
6235533167875990272,5,238.1869310006880,-26.38915421,2025:03:29:24:55,2025:03:30:08:00,26.4,30,1,1,0
5638105278581874176,5,141.27948453624100,-26.27143378,2025:03:29:24:55,2025:03:30:08:00,18.72,30,1,1,0
5661194163772723072,5,144.23206173989600,-26.1618731,2025:03:29:24:55,2025:03:30:08:00,0.48,30,1,1,0
2972997497828295424,5,74.57194532048940,-22.63271214,2025:03:29:24:55,2025:03:30:08:00,0.48,30,1,1,0
5475243898288297088,5,158.83383562975500,-20.97736124,2025:03:29:24:55,2025:03:30:08:00,6.24,30,1,1,0
2974951501789619712,5,75.65500260828430,-20.83720637,2025:03:29:24:55,2025:03:30:08:00,0.528,30,1,1,0
5706507649294127104,5,126.38785459224800,-20.35143659,2025:03:29:24:55,2025:03:30:08:00,40.8,30,1,1,0
2981948656349157120,5,80.28628399464350,-18.08287421,2025:03:29:24:55,2025:03:30:08:00,10.56,30,1,1,0
5682008056323530368,5,142.8412957234270,-17.2957627,2025:03:29:24:55,2025:03:30:08:00,20.64,30,1,1,0
5143825976706932736,5,36.12613563316660,-17.28651354,2025:03:29:24:55,2025:03:30:08:00,25.44,30,1,1,0
3171631420210205056,5,68.81802669744250,-16.11449197,2025:03:29:24:55,2025:03:30:08:00,30.24,30,1,1,0
3754497583659096320,5,159.99398597611600,-12.06639019,2025:03:29:24:55,2025:03:30:08:00,12.48,30,1,1,0
6901234269614405888,5,309.27980848104500,-11.63428176,2025:03:29:24:55,2025:03:30:08:00,47.52,30,1,1,0
2613754712222934656,5,330.5475381119370,-11.16371645,2025:03:29:24:55,2025:03:30:08:00,20.64,30,1,1,0
3049533162211440512,5,105.44235265707000,-10.32058788,2025:03:29:24:55,2025:03:30:08:00,44.16,30,1,1,0
2999321180586629120,5,90.50702956,-10.0328187,2025:03:29:24:55,2025:03:30:08:00,16.32,30,1,1,0
5743705398968422400,5,136.6852334504930,-8.806139367,2025:03:29:24:55,2025:03:30:08:00,29.76,30,1,1,0
3200303384927512960,5,70.09847133151470,-5.501688546,2025:03:29:24:55,2025:03:30:08:00,24,30,1,1,0
3786550031235785344,5,170.83172900784700,-5.152047279,2025:03:29:24:55,2025:03:30:08:00,6.24,30,1,1,0
3060426058267356928,5,112.62595109557100,-3.659132838,2025:03:29:24:55,2025:03:30:08:00,13.92,30,1,1,0
4224578829332933632,5,310.4215819567430,-3.565210536,2025:03:29:24:55,2025:03:30:08:00,20.64,30,1,1,0
5761985432616501376,5,133.39836837028700,-3.493164429,2025:03:29:24:55,2025:03:30:08:00,22.08,30,1,1,0
2637726956221339136,5,349.3373244,-2.609430967,2025:03:29:24:55,2025:03:30:08:00,16.32,30,1,1,0
3830128624846458752,5,150.82761299409900,-1.085347294,2025:03:29:24:55,2025:03:30:08:00,10.08,30,1,1,0
2738415592529108096,5,0.5279663700458880,1.2603123108499800,2025:03:29:24:55,2025:03:30:08:00,15.36,30,1,1,0
3088195736252682496,5,118.86975984897700,2.8001313584138300,2025:03:29:24:55,2025:03:30:08:00,37.92,30,1,1,0
3809562019330343040,5,162.94725093209100,2.8951219272407800,2025:03:29:24:55,2025:03:30:08:00,15.36,30,1,1,0
3116031865976921216,5,106.52974967079200,3.1999036970697700,2025:03:29:24:55,2025:03:30:08:00,32.64,30,1,1,0
2683786249928234880,5,332.8816423494040,3.6642131919557000,2025:03:29:24:55,2025:03:30:08:00,12,30,1,1,0
4293315765165489536,5,289.2373736967540,5.144373315434190,2025:03:29:24:55,2025:03:30:08:00,12.48,30,1,1,0
3895544240940493440,5,182.48216831234700,6.369624199210660,2025:03:29:24:55,2025:03:30:08:00,35.52,30,1,1,0
4286113482922764288,5,281.3384956,7.198401137433230,2025:03:29:24:55,2025:03:30:08:00,0.528,30,1,1,0
3724596914697213056,5,205.38602732845800,8.084629163473460,2025:03:29:24:55,2025:03:30:08:00,12,30,1,1,0
599891555546067072,5,127.6335013,9.785581536,2025:03:29:24:55,2025:03:30:08:00,35.52,30,1,1,0
648638403565088768,5,123.80834162874500,10.503486795546700,2025:03:29:24:55,2025:03:30:08:00,9.6,30,1,1,0
2810945804767773440,5,350.0311209299600,11.83346010965570,2025:03:29:24:55,2025:03:30:08:00,0.528,30,1,1,0
2755034195386026368,5,6.638876307753160,12.677234365747500,2025:03:29:24:55,2025:03:30:08:00,20.64,30,1,1,0
3304478125929665152,5,62.77739952085220,12.796656305532600,2025:03:29:24:55,2025:03:30:08:00,43.2,30,1,1,0
3341276306211874560,5,85.03605483937100,13.007020355284300,2025:03:29:24:55,2025:03:30:08:00,6.24,30,1,1,0
3312846371490133504,5,67.51789320736420,16.06860426033560,2025:03:29:24:55,2025:03:30:08:00,16.32,30,1,1,0
45789269114357632,5,64.38494112,16.949608497570000,2025:03:29:24:55,2025:03:30:08:00,13.92,30,1,1,0
671143035762692352,5,115.2773490262580,17.64357223261570,2025:03:29:24:55,2025:03:30:08:00,28.8,30,1,1,0
4514579354818664704,5,286.25975886487100,17.675216592846500,2025:03:29:24:55,2025:03:30:08:00,16.32,30,1,1,0
1821315795663331456,5,298.68142970551600,18.03083933359320,2025:03:29:24:55,2025:03:30:08:00,31.2,30,1,1,0
2833919859711849600,5,338.95621525420100,18.675121655377100,2025:03:29:24:55,2025:03:30:08:00,24,30,1,1,0
56252256123908096,5,50.25045284304820,18.90518268249730,2025:03:29:24:55,2025:03:30:08:00,29.28,30,1,1,0
1822334561920333184,5,302.8156030795260,19.02665930083770,2025:03:29:24:55,2025:03:30:08:00,22.56,30,1,1,0
83872744127196416,5,42.148982161226100,19.27420509,2025:03:29:24:55,2025:03:30:08:00,12.48,30,1,1,0
685103912857072640,5,135.09564332221300,21.8320626,2025:03:29:24:55,2025:03:30:08:00,21.12,30,1,1,0
868181223176717824,5,113.91859006004200,24.18349769881050,2025:03:29:24:55,2025:03:30:08:00,13.44,30,1,1,0
3382740882560780928,5,98.66303503237390,24.231158391668400,2025:03:29:24:55,2025:03:30:08:00,15.36,30,1,1,0
3957137988975049088,5,195.91911260048900,24.23422164449530,2025:03:29:24:55,2025:03:30:08:00,15.84,30,1,1,0
1843326953299922176,5,310.9584562002700,24.48976222393410,2025:03:29:24:55,2025:03:30:08:00,36.96,30,1,1,0
2026669830056606080,5,298.5203828488000,25.313683305207100,2025:03:29:24:55,2025:03:30:08:00,13.44,30,1,1,0
1832633481176363904,5,306.8141039824170,25.92151959240970,2025:03:29:24:55,2025:03:30:08:00,7.2,30,1,1,0
4573681128433698688,5,259.5718582632540,26.43236179369970,2025:03:29:24:55,2025:03:30:08:00,26.88,30,1,1,0
703790044252850688,5,127.45009240230600,26.77328596508200,2025:03:29:24:55,2025:03:30:08:00,22.08,30,1,1,0
3442355711526009728,5,83.03982161354860,27.91417677159010,2025:03:29:24:55,2025:03:30:08:00,43.2,30,1,1,0
1272178319624018816,5,231.10287405102400,29.42263242078560,2025:03:29:24:55,2025:03:30:08:00,32.16,30,1,1,0
3446141540516032640,5,82.57434733286010,29.939519457019300,2025:03:29:24:55,2025:03:30:08:00,40.8,30,1,1,0
1282632682337912832,5,221.0710869095230,30.03577342,2025:03:29:24:55,2025:03:30:08:00,17.76,30,1,1,0
741803219239822336,5,155.6534990678500,30.282471433633100,2025:03:29:24:55,2025:03:30:08:00,21.6,30,1,1,0
1477762323724646272,5,214.9429725687000,31.61918106220840,2025:03:29:24:55,2025:03:30:08:00,36,30,1,1,0
901941452829250560,5,121.85665818972700,32.21833678972120,2025:03:29:24:55,2025:03:30:08:00,16.8,30,1,1,0
1854688241314726912,5,318.9314746089330,32.78864627363660,2025:03:29:24:55,2025:03:30:08:00,0.672,30,1,1,0
2091177593123254016,5,278.90744884954300,32.994787158699600,2025:03:29:24:55,2025:03:30:08:00,5.76,30,1,1,0
1869054868256849920,5,312.3632264528630,33.61232589106560,2025:03:29:24:55,2025:03:30:08:00,4.08,30,1,1,0
938637069291683968,5,101.98489970974400,34.246315973350900,2025:03:29:24:55,2025:03:30:08:00,16.8,30,1,1,0
327944328126649856,5,34.29473704167930,35.44121898612930,2025:03:29:24:55,2025:03:30:08:00,13.44,30,1,1,0
321344574004123392,5,18.506078477395200,36.23807943930160,2025:03:29:24:55,2025:03:30:08:00,42.24,30,1,1,0
898275195732381440,5,108.51592992786100,37.04530452587590,2025:03:29:24:55,2025:03:30:08:00,34.08,30,1,1,0
775105154407062016,5,163.58320291936100,38.03750481567930,2025:03:29:24:55,2025:03:30:08:00,8.16,30,1,1,0
235505877319305088,5,50.37394523346990,38.79133903494560,2025:03:29:24:55,2025:03:30:08:00,8.16,30,1,1,0
2098118397710725248,5,281.3298201,38.891745604666800,2025:03:29:24:55,2025:03:30:08:00,19.68,30,1,1,0
230171768457140736,5,59.332036157065300,41.12839689730310,2025:03:29:24:55,2025:03:30:08:00,27.36,30,1,1,0
345210607756642944,5,32.49179947563200,41.52673074571350,2025:03:29:24:55,2025:03:30:08:00,19.68,30,1,1,0
229155579195699456,5,64.97040176423640,42.55204268603940,2025:03:29:24:55,2025:03:30:08:00,47.52,30,1,1,0
2077988676275617408,5,294.7019819509840,43.35534973362030,2025:03:29:24:55,2025:03:30:08:00,44.16,30,1,1,0
432824886875420672,5,45.26378787973460,44.28192388002290,2025:03:29:24:55,2025:03:30:08:00,4.8,30,1,1,0
2164857241699050496,5,319.02264665388700,47.99257994211970,2025:03:29:24:55,2025:03:30:08:00,15.36,30,1,1,0
405354340472800640,5,25.565360830709200,48.76165846956520,2025:03:29:24:55,2025:03:30:08:00,38.4,30,1,1,0
1595520568815311744,5,230.25475595170700,50.88889765,2025:03:29:24:55,2025:03:30:08:00,6.24,30,1,1,0
1989123122859943424,5,345.052946,51.18407472777560,2025:03:29:24:55,2025:03:30:08:00,0.48,30,1,1,0
260809659966816512,5,73.99953217509270,52.38348878057250,2025:03:29:24:55,2025:03:30:08:00,17.28,30,1,1,0
2173367633501430272,5,324.5723457,52.955345203478200,2025:03:29:24:55,2025:03:30:08:00,8.64,30,1,1,0
1421042126620559104,5,264.97163605159200,55.54638938910880,2025:03:29:24:55,2025:03:30:08:00,24.96,30,1,1,0
2177877452238559104,5,321.85799800123500,55.88868198542660,2025:03:29:24:55,2025:03:30:08:00,16.8,30,1,1,0
1081127557137725696,5,120.33788640939800,56.39981757098100,2025:03:29:24:55,2025:03:30:08:00,5.76,30,1,1,0
2188222203084317184,5,307.30001719729300,57.84067222399510,2025:03:29:24:55,2025:03:30:08:00,20.64,30,1,1,0
281261607033049472,5,78.87996511574300,59.183706621438400,2025:03:29:24:55,2025:03:30:08:00,8.16,30,1,1,0
513688675702458880,5,36.36209449,62.49845976438650,2025:03:29:24:55,2025:03:30:08:00,15.36,30,1,1,0
1678489647527832320,5,198.5949485165660,66.37603764196510,2025:03:29:24:55,2025:03:30:08:00,24.48,30,1,1,0
526331891194068736,5,13.107742152663700,67.40229418484770,2025:03:29:24:55,2025:03:30:08:00,4.272,30,1,1,0
1114291851489438976,5,96.00179557012340,73.66717129681050,2025:03:29:24:55,2025:03:30:08:00,12.48,30,1,1,0
540024624884241792,5,8.791751153790050,76.46524576062330,2025:03:29:24:55,2025:03:30:08:00,20.64,30,1,1,0
1717517740469399168,5,180.8907712901660,79.1171562,2025:03:29:24:55,2025:03:30:08:00,21.6,30,1,1,0
